1	0	919	4
1	0	1028	5
1	0	1270	5
1	0	1721	4
1	0	1836	5
1	0	2018	4
1	0	2294	4
1	0	2398	4
1	0	2791	4
1	0	3408	4
2	0	21	1
2	0	235	3
2	0	318	5
2	0	368	4
2	0	380	5
2	0	589	4
2	0	593	5
2	0	902	2
2	0	1193	5
2	0	1244	3
2	0	1245	2
2	0	1246	5
2	0	1293	5
2	0	1442	4
2	0	1610	5
2	0	1792	3
2	0	1801	3
2	0	1968	2
2	0	2028	4
2	0	2852	3
2	0	2858	4
2	0	3451	4
2	0	3678	3
2	0	3735	3
2	0	3893	1
3	0	260	5
3	0	480	4
3	0	733	5
3	0	1198	5
3	0	1265	2
3	0	1270	3
3	0	1291	4
3	0	1580	3
3	0	1968	4
3	0	2617	2
4	0	1954	5
4	0	2366	4
4	0	2692	5
4	0	2947	5
5	0	39	3
5	0	47	3
5	0	52	2
5	0	215	3
5	0	348	4
5	0	497	3
5	0	728	4
5	0	866	4
5	0	908	4
5	0	919	4
5	0	994	5
5	0	1089	5
5	0	1171	4
5	0	1513	4
5	0	1527	3
5	0	1529	4
5	0	1535	4
5	0	1554	3
5	0	1594	1
5	0	1610	4
5	0	1653	2
5	0	1722	2
5	0	1729	4
5	0	1733	3
5	0	1747	2
5	0	1897	4
5	0	2289	4
5	0	2291	5
5	0	2333	4
5	0	2395	5
5	0	2580	4
5	0	2716	3
5	0	2725	2
5	0	2734	2
5	0	2770	4
5	0	2916	1
5	0	3267	4
5	0	3418	3
5	0	3793	2
6	0	34	4
6	0	368	4
6	0	377	3
6	0	590	3
6	0	914	5
6	0	1035	5
6	0	1043	4
6	0	1210	3
6	0	2100	3
6	0	2966	5
6	0	3074	5
6	0	3600	3
6	0	3624	4
6	0	3685	3
7	0	110	5
7	0	442	4
7	0	1221	4
7	0	1580	4
7	0	1610	5
7	0	3256	5
8	0	25	5
8	0	36	4
8	0	73	4
8	0	150	4
8	0	163	5
8	0	265	4
8	0	266	4
8	0	345	3
8	0	454	3
8	0	465	5
8	0	555	4
8	0	908	5
8	0	1120	4
8	0	1466	4
8	0	1573	4
8	0	1639	5
8	0	1673	5
8	0	1721	5
8	0	1916	5
8	0	2571	5
8	0	2686	4
8	0	2692	5
8	0	2858	5
8	0	3213	3
8	0	3250	3
8	0	3386	3
8	0	3500	3
9	0	428	3
9	0	590	5
9	0	593	5
9	0	838	3
9	0	861	2
9	0	994	4
9	0	1213	4
9	0	1221	4
9	0	1265	4
9	0	1343	3
9	0	1669	3
9	0	1721	5
9	0	1923	5
9	0	2355	4
9	0	3114	4
9	0	3147	4
9	0	3255	4
9	0	3298	4
9	0	3452	2
9	0	3510	3
9	0	3755	2
10	0	1	5
10	0	7	4
10	0	62	5
10	0	116	3
10	0	150	5
10	0	186	3
10	0	292	4
10	0	333	3
10	0	551	3
10	0	590	5
10	0	594	5
10	0	743	3
10	0	745	5
10	0	915	5
10	0	918	5
10	0	923	3
10	0	926	4
10	0	953	5
10	0	1012	3
10	0	1020	3
10	0	1022	5
10	0	1030	3
10	0	1031	4
10	0	1080	5
10	0	1091	3
10	0	1127	4
10	0	1197	5
10	0	1198	5
10	0	1220	4
10	0	1233	4
10	0	1247	3
10	0	1271	5
10	0	1286	5
10	0	1292	5
10	0	1302	5
10	0	1307	5
10	0	1345	3
10	0	1356	5
10	0	1357	5
10	0	1377	3
10	0	1409	5
10	0	1517	3
10	0	1566	3
10	0	1583	4
10	0	1639	2
10	0	1921	4
10	0	1927	3
10	0	1948	4
10	0	2021	4
10	0	2096	5
10	0	2137	4
10	0	2174	5
10	0	2252	5
10	0	2324	5
10	0	2336	5
10	0	2396	5
10	0	2431	5
10	0	2470	5
10	0	2529	4
10	0	2657	4
10	0	2770	4
10	0	2826	4
10	0	2858	3
10	0	2863	4
10	0	2872	4
10	0	2948	4
10	0	3108	5
10	0	3175	5
10	0	3254	3
10	0	3259	5
10	0	3309	3
10	0	3358	5
10	0	3451	5
10	0	3466	5
10	0	3489	4
10	0	3501	5
10	0	3591	5
10	0	3608	3
10	0	3703	2
10	0	3751	5
11	0	104	5
11	0	216	4
11	0	231	3
11	0	543	5
11	0	586	1
11	0	590	3
11	0	663	4
11	0	994	5
11	0	1089	5
11	0	1244	4
11	0	1259	3
11	0	1288	4
11	0	1546	4
11	0	1563	5
11	0	1665	2
11	0	1784	5
11	0	1887	2
11	0	2106	3
11	0	2507	1
11	0	2580	5
11	0	2795	5
11	0	2858	5
11	0	2883	3
11	0	3101	1
11	0	3105	5
11	0	3755	3
11	0	3809	5
12	0	593	5
12	0	919	5
12	0	1303	4
12	0	2804	5
13	0	50	4
13	0	318	4
13	0	457	2
13	0	552	3
13	0	592	3
13	0	919	4
13	0	952	3
13	0	1197	4
13	0	1216	3
13	0	1287	5
13	0	1372	4
13	0	1376	3
13	0	1967	3
13	0	2161	4
13	0	2370	4
13	0	2641	3
13	0	2871	3
13	0	2968	3
13	0	3070	1
13	0	3494	2
13	0	3745	3
14	0	2572	1
14	0	2762	5
14	0	2920	5
14	0	3033	4
14	0	3354	3
15	0	73	4
15	0	260	4
15	0	296	3
15	0	318	4
15	0	344	4
15	0	356	4
15	0	364	4
15	0	367	4
15	0	517	3
15	0	539	4
15	0	587	3
15	0	593	4
15	0	748	3
15	0	788	3
15	0	1092	4
15	0	1198	4
15	0	1265	3
15	0	1422	4
15	0	1487	4
15	0	1580	2
15	0	1729	2
15	0	1777	3
15	0	1840	2
15	0	1885	2
15	0	1923	4
15	0	2001	4
15	0	2302	3
15	0	2387	2
15	0	2424	3
15	0	2433	4
15	0	2640	3
15	0	2724	3
15	0	2908	3
15	0	3004	2
15	0	3105	3
15	0	3247	2
15	0	3418	3
15	0	3510	5
15	0	3566	2
